Date_Time (LST/LDT), Event, Speed (knots)
1/1/17 3:42, flood,0.7
1/1/17 16:00, flood,0.2
1/1/17 19:06, slack,-
1/1/17 21:30, ebb,-0.2
1/1/17 23:42, slack,-
1/2/17 4:12, flood,0.6
1/2/17 16:48, flood,0.2
1/2/17 20:18, slack,-
1/2/17 22:18, ebb,-0.1
1/3/17 0:12, slack,-
1/3/17 4:42, flood,0.6
1/3/17 18:00, flood,0.2
1/3/17 22:00, slack,-
1/4/17 0:42, slack,-
1/4/17 5:24, flood,0.5
1/4/17 18:54, flood,0.3
1/4/17 23:54, slack,-
1/5/17 1:06, slack,-
1/5/17 6:18, flood,0.5
1/5/17 12:24, slack,-
1/5/17 14:48, slack,-
1/5/17 19:54, flood,0.4
1/6/17 7:00, flood,0.4
1/6/17 12:18, slack,-
1/6/17 13:54, ebb,-0.1
1/6/17 16:24, slack,-
1/6/17 20:54, flood,0.5
1/7/17 2:36, flood,0.1
1/7/17 7:30, flood,0.3
1/7/17 12:24, slack,-
1/7/17 14:54, ebb,-0.2
1/7/17 17:30, slack,-
1/7/17 22:24, flood,0.6
1/8/17 4:18, flood,0.1
1/8/17 8:12, flood,0.3
1/8/17 12:36, slack,-
1/8/17 15:54, ebb,-0.2
1/8/17 18:30, slack,-
1/8/17 23:42, flood,0.7
1/9/17 5:30, flood,0.1
1/9/17 8:36, flood,0.2
1/9/17 13:06, slack,-
1/9/17 16:48, ebb,-0.3
1/9/17 19:24, slack,-
1/10/17 1:06, flood,0.7
1/10/17 8:48, flood,0.1
1/10/17 10:24, flood,0.1
1/10/17 14:30, slack,-
1/10/17 17:36, ebb,-0.3
1/10/17 20:30, slack,-
1/11/17 2:12, flood,0.8
1/11/17 11:54, flood,0.1
1/11/17 15:42, slack,-
1/11/17 18:24, ebb,-0.4
1/11/17 21:30, slack,-
1/12/17 2:42, flood,0.8
1/12/17 13:48, flood,0.2
1/12/17 16:36, slack,-
1/12/17 19:24, ebb,-0.4
1/12/17 22:30, slack,-
1/13/17 3:12, flood,0.8
1/13/17 14:30, flood,0.2
1/13/17 17:30, slack,-
1/13/17 20:12, ebb,-0.4
1/13/17 23:18, slack,-
1/14/17 3:30, flood,0.8
1/14/17 15:06, flood,0.3
1/14/17 18:24, slack,-
1/14/17 21:06, ebb,-0.3
1/15/17 0:00, slack,-
1/15/17 3:48, flood,0.7
1/15/17 15:36, flood,0.3
1/15/17 19:30, slack,-
1/15/17 21:48, ebb,-0.2
1/16/17 0:30, slack,-
1/16/17 4:12, flood,0.6
1/16/17 16:12, flood,0.3
1/16/17 20:42, slack,-
1/16/17 22:36, ebb,-0.1
1/17/17 0:54, slack,-
1/17/17 4:42, flood,0.6
1/17/17 17:06, flood,0.3
1/17/17 22:24, slack,-
1/18/17 1:06, slack,-
1/18/17 5:30, flood,0.5
1/18/17 11:42, slack,-
1/18/17 13:54, slack,-
1/18/17 18:12, flood,0.3
1/19/17 6:18, flood,0.5
1/19/17 11:36, slack,-
1/19/17 15:06, slack,-
1/19/17 19:12, flood,0.4
1/20/17 7:06, flood,0.4
1/20/17 11:54, slack,-
1/20/17 13:42, ebb,-0.1
1/20/17 16:12, slack,-
1/20/17 20:06, flood,0.4
1/21/17 2:42, flood,0.1
1/21/17 7:48, flood,0.4
1/21/17 12:12, slack,-
1/21/17 14:24, ebb,-0.2
1/21/17 17:12, slack,-
1/21/17 21:06, flood,0.5
1/22/17 4:42, flood,0.1
1/22/17 8:36, flood,0.3
1/22/17 12:42, slack,-
1/22/17 15:12, ebb,-0.2
1/22/17 18:00, slack,-
1/22/17 22:30, flood,0.5
1/23/17 5:48, flood,0.1
1/23/17 9:30, flood,0.3
1/23/17 13:24, slack,-
1/23/17 16:06, ebb,-0.3
1/23/17 18:42, slack,-
1/24/17 0:42, flood,0.6
1/24/17 7:30, flood,0.1
1/24/17 10:42, flood,0.2
1/24/17 14:18, slack,-
1/24/17 16:54, ebb,-0.3
1/24/17 19:30, slack,-
1/25/17 1:36, flood,0.6
1/25/17 11:48, flood,0.2
1/25/17 15:12, slack,-
1/25/17 17:36, ebb,-0.3
1/25/17 20:18, slack,-
1/26/17 2:12, flood,0.7
1/26/17 13:12, flood,0.2
1/26/17 16:00, slack,-
1/26/17 18:18, ebb,-0.3
1/26/17 21:00, slack,-
1/27/17 2:18, flood,0.7
1/27/17 14:12, flood,0.2
1/27/17 16:48, slack,-
1/27/17 19:00, ebb,-0.3
1/27/17 21:36, slack,-
1/28/17 2:30, flood,0.7
1/28/17 14:42, flood,0.3
1/28/17 17:30, slack,-
1/28/17 19:42, ebb,-0.3
1/28/17 22:06, slack,-
1/29/17 2:48, flood,0.7
1/29/17 15:12, flood,0.3
1/29/17 18:18, slack,-
1/29/17 20:24, ebb,-0.2
1/29/17 22:36, slack,-
1/30/17 3:12, flood,0.7
1/30/17 15:48, flood,0.3
1/30/17 19:18, slack,-
1/30/17 21:06, ebb,-0.2
1/30/17 23:00, slack,-
1/31/17 3:30, flood,0.6
1/31/17 16:24, flood,0.3
1/31/17 20:36, slack,-
1/31/17 23:24, slack,-
2/1/17 4:00, flood,0.6
2/1/17 9:48, slack,-
2/1/17 12:24, slack,-
2/1/17 17:24, flood,0.4
2/1/17 22:54, slack,-
2/2/17 4:30, flood,0.5
2/2/17 9:54, slack,-
2/2/17 13:42, slack,-
2/2/17 18:30, flood,0.4
2/3/17 5:06, flood,0.4
2/3/17 10:00, slack,-
2/3/17 12:30, ebb,-0.1
2/3/17 14:48, slack,-
2/3/17 19:36, flood,0.5
2/4/17 1:18, flood,0.1
2/4/17 6:00, flood,0.3
2/4/17 10:00, slack,-
2/4/17 13:18, ebb,-0.2
2/4/17 15:54, slack,-
2/4/17 20:36, flood,0.6
2/5/17 3:00, flood,0.2
2/5/17 6:54, flood,0.2
2/5/17 10:12, slack,-
2/5/17 14:06, ebb,-0.2
2/5/17 17:06, slack,-
2/5/17 22:30, flood,0.7
2/6/17 5:42, flood,0.1
2/6/17 7:30, flood,0.2
2/6/17 10:48, slack,-
2/6/17 15:24, ebb,-0.3
2/6/17 18:12, slack,-
2/6/17 23:48, flood,0.7
2/7/17 8:00, flood,0.1
2/7/17 12:06, slack,-
2/7/17 16:36, ebb,-0.3
2/7/17 19:12, slack,-
2/8/17 1:00, flood,0.8
2/8/17 14:36, slack,-
2/8/17 17:30, ebb,-0.3
2/8/17 20:18, slack,-
2/9/17 1:54, flood,0.8
2/9/17 13:54, flood,0.2
2/9/17 15:48, slack,-
2/9/17 18:18, ebb,-0.3
2/9/17 21:18, slack,-
2/10/17 2:36, flood,0.8
2/10/17 14:12, flood,0.2
2/10/17 16:48, slack,-
2/10/17 19:12, ebb,-0.3
2/10/17 22:06, slack,-
2/11/17 2:54, flood,0.8
2/11/17 14:36, flood,0.3
2/11/17 17:36, slack,-
2/11/17 20:00, ebb,-0.3
2/11/17 22:48, slack,-
2/12/17 3:00, flood,0.7
2/12/17 14:54, flood,0.4
2/12/17 18:36, slack,-
2/12/17 20:42, ebb,-0.2
2/12/17 23:18, slack,-
2/13/17 3:12, flood,0.7
2/13/17 8:54, slack,-
2/13/17 11:06, slack,-
2/13/17 15:24, flood,0.4
2/13/17 19:36, slack,-
2/13/17 21:18, ebb,-0.2
2/13/17 23:30, slack,-
2/14/17 3:36, flood,0.6
2/14/17 8:54, slack,-
2/14/17 12:06, slack,-
2/14/17 16:00, flood,0.4
2/14/17 20:48, slack,-
2/14/17 23:36, slack,-
2/15/17 4:06, flood,0.6
2/15/17 9:06, slack,-
2/15/17 13:00, slack,-
2/15/17 16:42, flood,0.4
2/16/17 4:42, flood,0.5
2/16/17 9:24, slack,-
2/16/17 11:24, ebb,-0.1
2/16/17 13:48, slack,-
2/16/17 17:42, flood,0.4
2/17/17 0:12, flood,0.1
2/17/17 5:30, flood,0.4
2/17/17 9:54, slack,-
2/17/17 12:12, ebb,-0.2
2/17/17 14:36, slack,-
2/17/17 18:48, flood,0.5
2/18/17 1:18, flood,0.2
2/18/17 6:24, flood,0.4
2/18/17 10:24, slack,-
2/18/17 12:54, ebb,-0.2
2/18/17 15:30, slack,-
2/18/17 19:42, flood,0.5
2/19/17 4:18, flood,0.2
2/19/17 7:18, flood,0.3
2/19/17 11:00, slack,-
2/19/17 13:36, ebb,-0.2
2/19/17 16:30, slack,-
2/19/17 20:36, flood,0.5
2/20/17 5:24, flood,0.1
2/20/17 8:12, flood,0.2
2/20/17 11:42, slack,-
2/20/17 14:30, ebb,-0.2
2/20/17 17:24, slack,-
2/20/17 23:06, flood,0.6
2/21/17 9:12, flood,0.2
2/21/17 12:36, slack,-
2/21/17 15:30, ebb,-0.2
2/21/17 18:12, slack,-
2/22/17 0:06, flood,0.6
2/22/17 10:30, flood,0.2
2/22/17 13:48, slack,-
2/22/17 16:30, ebb,-0.3
2/22/17 18:54, slack,-
2/23/17 1:12, flood,0.6
2/23/17 11:42, flood,0.2
2/23/17 15:00, slack,-
2/23/17 17:12, ebb,-0.3
2/23/17 19:36, slack,-
2/24/17 1:48, flood,0.6
2/24/17 8:54, slack,-
2/24/17 13:18, flood,0.2
2/24/17 16:00, slack,-
2/24/17 17:54, ebb,-0.3
2/24/17 20:12, slack,-
2/25/17 1:36, flood,0.6
2/25/17 9:06, slack,-
2/25/17 10:24, slack,-
2/25/17 14:00, flood,0.3
2/25/17 16:48, slack,-
2/25/17 18:36, ebb,-0.2
2/25/17 20:48, slack,-
2/26/17 1:48, flood,0.6
2/26/17 9:12, slack,-
2/26/17 10:30, slack,-
2/26/17 14:30, flood,0.3
2/26/17 17:30, slack,-
2/26/17 19:18, ebb,-0.2
2/26/17 21:18, slack,-
2/27/17 2:12, flood,0.6
2/27/17 7:42, slack,-
2/27/17 10:24, slack,-
2/27/17 15:00, flood,0.4
2/27/17 18:24, slack,-
2/27/17 20:00, ebb,-0.2
2/27/17 21:48, slack,-
2/28/17 2:36, flood,0.6
2/28/17 7:36, slack,-
2/28/17 11:00, slack,-
2/28/17 15:30, flood,0.4
2/28/17 19:30, slack,-
2/28/17 20:48, ebb,-0.1
2/28/17 22:12, slack,-
3/1/17 3:00, flood,0.6
3/1/17 7:36, slack,-
3/1/17 9:24, ebb,-0.1
3/1/17 11:42, slack,-
3/1/17 16:12, flood,0.5
3/1/17 21:12, slack,-
3/2/17 3:24, flood,0.5
3/2/17 7:42, slack,-
3/2/17 10:00, ebb,-0.2
3/2/17 12:36, slack,-
3/2/17 17:00, flood,0.5
3/3/17 3:42, flood,0.4
3/3/17 7:42, slack,-
3/3/17 10:42, ebb,-0.2
3/3/17 13:30, slack,-
3/3/17 18:12, flood,0.6
3/4/17 0:06, flood,0.2
3/4/17 3:48, flood,0.3
3/4/17 7:54, slack,-
3/4/17 11:54, ebb,-0.2
3/4/17 14:30, slack,-
3/4/17 19:18, flood,0.6
3/5/17 1:42, flood,0.2
3/5/17 3:06, flood,0.2
3/5/17 8:18, slack,-
3/5/17 12:54, ebb,-0.3
3/5/17 15:36, slack,-
3/5/17 20:30, flood,0.7
3/6/17 5:48, flood,0.1
3/6/17 9:00, slack,-
3/6/17 13:54, ebb,-0.3
3/6/17 16:54, slack,-
3/6/17 22:42, flood,0.7
3/7/17 10:24, slack,-
3/7/17 15:12, ebb,-0.3
3/7/17 18:00, slack,-
3/7/17 23:36, flood,0.7
3/8/17 13:18, slack,-
3/8/17 16:24, ebb,-0.3
3/8/17 19:00, slack,-
3/9/17 0:42, flood,0.7
3/9/17 11:48, flood,0.1
3/9/17 14:48, slack,-
3/9/17 17:18, ebb,-0.3
3/9/17 20:00, slack,-
3/10/17 1:30, flood,0.7
3/10/17 13:30, flood,0.2
3/10/17 15:54, slack,-
3/10/17 18:06, ebb,-0.3
3/10/17 20:48, slack,-
3/11/17 2:06, flood,0.7
3/11/17 8:12, slack,-
3/11/17 14:06, flood,0.3
3/11/17 16:48, slack,-
3/11/17 18:54, ebb,-0.3
3/11/17 21:30, slack,-
3/12/17 3:12, flood,0.7
3/12/17 8:12, slack,-
3/12/17 11:00, slack,-
3/12/17 15:24, flood,0.4
3/12/17 18:42, slack,-
3/12/17 20:36, ebb,-0.2
3/12/17 23:00, slack,-
3/13/17 3:18, flood,0.6
3/13/17 8:06, slack,-
3/13/17 11:42, slack,-
3/13/17 15:42, flood,0.4
3/13/17 19:36, slack,-
3/13/17 21:18, ebb,-0.1
3/13/17 23:18, slack,-
3/14/17 3:36, flood,0.6
3/14/17 8:06, slack,-
3/14/17 9:54, ebb,-0.1
3/14/17 12:18, slack,-
3/14/17 16:12, flood,0.5
3/14/17 20:42, slack,-
3/14/17 23:18, slack,-
3/15/17 4:00, flood,0.6
3/15/17 8:18, slack,-
3/15/17 10:12, ebb,-0.2
3/15/17 13:00, slack,-
3/15/17 16:36, flood,0.5
3/16/17 4:30, flood,0.5
3/16/17 8:36, slack,-
3/16/17 10:42, ebb,-0.2
3/16/17 13:36, slack,-
3/16/17 17:18, flood,0.5
3/16/17 23:24, flood,0.1
3/17/17 5:06, flood,0.5
3/17/17 9:00, slack,-
3/17/17 11:30, ebb,-0.2
3/17/17 14:18, slack,-
3/17/17 18:12, flood,0.5
3/18/17 1:12, flood,0.2
3/18/17 5:54, flood,0.4
3/18/17 9:24, slack,-
3/18/17 12:18, ebb,-0.2
3/18/17 15:06, slack,-
3/18/17 19:18, flood,0.5
3/19/17 3:30, flood,0.2
3/19/17 6:54, flood,0.3
3/19/17 10:06, slack,-
3/19/17 13:12, ebb,-0.2
3/19/17 15:54, slack,-
3/19/17 20:18, flood,0.6
3/20/17 5:42, flood,0.1
3/20/17 7:54, flood,0.2
3/20/17 11:00, slack,-
3/20/17 14:00, ebb,-0.2
3/20/17 16:48, slack,-
3/20/17 21:12, flood,0.6
3/20/17 22:30, flood,0.6
3/21/17 8:54, flood,0.2
3/21/17 12:12, slack,-
3/21/17 14:54, ebb,-0.2
3/21/17 17:42, slack,-
3/21/17 22:18, flood,0.6
3/21/17 23:54, flood,0.6
3/22/17 9:54, flood,0.1
3/22/17 13:24, slack,-
3/22/17 16:00, ebb,-0.2
3/22/17 18:30, slack,-
3/23/17 0:06, flood,0.6
3/23/17 11:24, flood,0.1
3/23/17 14:42, slack,-
3/23/17 17:00, ebb,-0.2
3/23/17 19:12, slack,-
3/23/17 23:48, flood,0.6
3/24/17 12:30, flood,0.2
3/24/17 15:54, slack,-
3/24/17 17:48, ebb,-0.2
3/24/17 19:42, slack,-
3/25/17 0:36, flood,0.6
3/25/17 8:48, slack,-
3/25/17 10:12, slack,-
3/25/17 14:00, flood,0.2
3/25/17 16:54, slack,-
3/25/17 18:30, ebb,-0.2
3/25/17 20:18, slack,-
3/26/17 1:06, flood,0.6
3/26/17 7:48, slack,-
3/26/17 10:42, slack,-
3/26/17 14:48, flood,0.3
3/26/17 17:48, slack,-
3/26/17 19:12, ebb,-0.2
3/26/17 20:54, slack,-
3/27/17 1:42, flood,0.6
3/27/17 7:12, slack,-
3/27/17 11:00, slack,-
3/27/17 15:18, flood,0.4
3/27/17 18:42, slack,-
3/27/17 19:54, ebb,-0.1
3/27/17 21:30, slack,-
3/28/17 2:24, flood,0.6
3/28/17 7:06, slack,-
3/28/17 8:48, ebb,-0.1
3/28/17 11:18, slack,-
3/28/17 15:48, flood,0.5
3/28/17 19:42, slack,-
3/28/17 22:00, slack,-
3/29/17 2:54, flood,0.5
3/29/17 7:06, slack,-
3/29/17 9:18, ebb,-0.2
3/29/17 11:54, slack,-
3/29/17 16:18, flood,0.6
3/29/17 21:12, slack,-
3/30/17 3:30, flood,0.5
3/30/17 7:12, slack,-
3/30/17 9:48, ebb,-0.3
3/30/17 12:36, slack,-
3/30/17 16:54, flood,0.6
3/31/17 3:54, flood,0.4
3/31/17 7:12, slack,-
3/31/17 10:24, ebb,-0.3
3/31/17 13:24, slack,-
3/31/17 17:42, flood,0.7
3/31/17 23:42, flood,0.2
4/1/17 4:12, flood,0.3
4/1/17 7:24, slack,-
4/1/17 11:12, ebb,-0.3
4/1/17 14:18, slack,-
4/1/17 18:48, flood,0.7
4/2/17 1:54, flood,0.2
4/2/17 3:30, flood,0.2
4/2/17 7:54, slack,-
4/2/17 12:24, ebb,-0.3
4/2/17 15:18, slack,-
4/2/17 20:12, flood,0.7
4/3/17 8:36, slack,-
4/3/17 13:36, ebb,-0.3
4/3/17 16:24, slack,-
4/3/17 22:06, flood,0.7
4/4/17 10:06, slack,-
4/4/17 14:42, ebb,-0.3
4/4/17 17:36, slack,-
4/4/17 23:24, flood,0.7
4/5/17 8:54, flood,0.1
4/5/17 13:06, slack,-
4/5/17 16:00, ebb,-0.3
4/5/17 18:42, slack,-
4/6/17 0:18, flood,0.7
4/6/17 10:18, flood,0.2
4/6/17 14:36, slack,-
4/6/17 17:12, ebb,-0.2
4/6/17 19:36, slack,-
4/7/17 1:00, flood,0.7
4/7/17 12:48, flood,0.2
4/7/17 15:54, slack,-
4/7/17 18:00, ebb,-0.2
4/7/17 20:24, slack,-
4/8/17 1:36, flood,0.6
4/8/17 7:06, slack,-
4/8/17 8:24, slack,-
4/8/17 14:12, flood,0.3
4/8/17 17:00, slack,-
4/8/17 18:42, ebb,-0.2
4/8/17 21:00, slack,-
4/9/17 1:42, flood,0.6
4/9/17 6:42, slack,-
4/9/17 9:48, slack,-
4/9/17 14:48, flood,0.4
4/9/17 17:54, slack,-
4/9/17 19:24, ebb,-0.1
4/9/17 21:30, slack,-
4/10/17 1:54, flood,0.6
4/10/17 6:42, slack,-
4/10/17 8:18, ebb,-0.1
4/10/17 10:42, slack,-
4/10/17 15:12, flood,0.4
4/10/17 18:54, slack,-
4/10/17 21:54, slack,-
4/11/17 2:24, flood,0.6
4/11/17 6:48, slack,-
4/11/17 8:36, ebb,-0.2
4/11/17 11:24, slack,-
4/11/17 15:30, flood,0.5
4/11/17 20:00, slack,-
4/11/17 22:00, slack,-
4/12/17 3:06, flood,0.6
4/12/17 7:00, slack,-
4/12/17 9:00, ebb,-0.2
4/12/17 11:54, slack,-
4/12/17 15:54, flood,0.6
4/13/17 3:36, flood,0.5
4/13/17 7:12, slack,-
4/13/17 9:30, ebb,-0.3
4/13/17 12:30, slack,-
4/13/17 16:24, flood,0.6
4/14/17 4:06, flood,0.5
4/14/17 7:30, slack,-
4/14/17 10:06, ebb,-0.3
4/14/17 13:12, slack,-
4/14/17 17:00, flood,0.6
4/14/17 23:18, flood,0.2
4/15/17 4:48, flood,0.4
4/15/17 8:00, slack,-
4/15/17 10:48, ebb,-0.3
4/15/17 13:48, slack,-
4/15/17 17:48, flood,0.6
4/16/17 2:24, flood,0.2
4/16/17 5:24, flood,0.3
4/16/17 8:30, slack,-
4/16/17 11:36, ebb,-0.3
4/16/17 14:36, slack,-
4/16/17 18:42, flood,0.6
4/17/17 4:06, flood,0.2
4/17/17 6:30, flood,0.2
4/17/17 9:18, slack,-
4/17/17 12:42, ebb,-0.3
4/17/17 15:18, slack,-
4/17/17 19:48, flood,0.6
4/18/17 7:42, flood,0.2
4/18/17 10:30, slack,-
4/18/17 13:36, ebb,-0.2
4/18/17 16:06, slack,-
4/18/17 20:36, flood,0.6
4/19/17 8:48, flood,0.1
4/19/17 12:06, slack,-
4/19/17 14:24, ebb,-0.2
4/19/17 16:48, slack,-
4/19/17 21:24, flood,0.6
4/20/17 9:48, flood,0.2
4/20/17 13:24, slack,-
4/20/17 15:18, ebb,-0.2
4/20/17 17:36, slack,-
4/20/17 22:06, flood,0.6
4/21/17 11:18, flood,0.2
4/21/17 14:36, slack,-
4/21/17 16:18, ebb,-0.1
4/21/17 18:12, slack,-
4/21/17 22:48, flood,0.5
4/22/17 7:18, slack,-
4/22/17 12:12, flood,0.2
4/22/17 16:00, slack,-
4/22/17 17:18, ebb,-0.1
4/22/17 18:48, slack,-
4/22/17 23:24, flood,0.5
4/23/17 6:18, slack,-
4/23/17 8:48, slack,-
4/23/17 13:18, flood,0.3
4/23/17 17:06, slack,-
4/23/17 19:18, slack,-
4/24/17 0:00, flood,0.5
4/24/17 5:54, slack,-
4/24/17 9:30, slack,-
4/24/17 14:30, flood,0.4
4/24/17 18:00, slack,-
4/24/17 19:54, slack,-
4/25/17 0:42, flood,0.5
4/25/17 5:54, slack,-
4/25/17 7:30, ebb,-0.2
4/25/17 10:12, slack,-
4/25/17 15:06, flood,0.5
4/25/17 19:12, slack,-
4/25/17 20:24, slack,-
4/26/17 1:30, flood,0.4
4/26/17 6:00, slack,-
4/26/17 8:06, ebb,-0.2
4/26/17 10:54, slack,-
4/26/17 15:36, flood,0.6
4/27/17 2:18, flood,0.4
4/27/17 6:00, slack,-
4/27/17 8:42, ebb,-0.3
4/27/17 11:30, slack,-
4/27/17 16:06, flood,0.7
4/28/17 3:00, flood,0.3
4/28/17 6:06, slack,-
4/28/17 9:24, ebb,-0.3
4/28/17 12:18, slack,-
4/28/17 16:42, flood,0.8
4/28/17 22:36, flood,0.1
4/29/17 3:42, flood,0.3
4/29/17 6:24, slack,-
4/29/17 10:00, ebb,-0.4
4/29/17 13:12, slack,-
4/29/17 17:24, flood,0.8
4/30/17 1:54, flood,0.2
4/30/17 4:12, flood,0.2
4/30/17 6:48, slack,-
4/30/17 10:54, ebb,-0.3
4/30/17 14:06, slack,-
4/30/17 18:24, flood,0.7
5/1/17 3:30, flood,0.2
5/1/17 7:36, slack,-
5/1/17 12:12, ebb,-0.3
5/1/17 15:06, slack,-
